"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","beta.x1",0.3,"-0.02 (0.02)","0.01 (0.02)","0 (0.01)","0 (0.01)","0 (0.01)","0 (0.01)","0 (0.01)","0 (0.01)"
"2","beta.x2",0.3,"0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"3","sigma",0.3,"-3.81 (2.94)","-6.8 (2.55)","-0.16 (1.23)","-0.16 (1.06)","-0.14 (1.34)","-0.12 (1.05)","0.12 (1.37)","0.05 (1.07)"
"4","r.squared",0.3,"-0.06 (0.02)","0.05 (0.03)","0.01 (0.03)","0.01 (0.02)","0.01 (0.03)","0.01 (0.02)","0 (0.02)","0 (0.02)"
"5","beta.x1",0.5,"-0.03 (0.02)","0.02 (0.03)","0 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)"
"6","beta.x2",0.5,"-0.01 (0)","0.01 (0.01)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"7","sigma",0.5,"-7.18 (5.01)","-11.23 (4.03)","-0.32 (1.76)","-0.37 (1.44)","-0.31 (1.84)","-0.28 (1.46)","0.02 (1.86)","-0.05 (1.54)"
"8","r.squared",0.5,"-0.08 (0.02)","0.09 (0.04)","0.02 (0.03)","0.02 (0.03)","0.02 (0.03)","0.02 (0.03)","0 (0.03)","0 (0.03)"
"9","beta.x1",0.7,"-0.04 (0.03)","0.04 (0.05)","0 (0.03)","0 (0.02)","0 (0.03)","0 (0.02)","0 (0.03)","0 (0.02)"
"10","beta.x2",0.7,"-0.01 (0.01)","0.01 (0.01)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"11","sigma",0.7,"-10.85 (7.09)","-15.59 (5.43)","-0.49 (2.26)","-0.4 (1.95)","-0.3 (2.67)","-0.36 (2)","0.06 (2.5)","-0.03 (2.03)"
"12","r.squared",0.7,"-0.11 (0.03)","0.15 (0.07)","0.02 (0.04)","0.02 (0.04)","0.02 (0.05)","0.02 (0.04)","-0.01 (0.04)","0 (0.03)"
