"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","mean.x1",0.3,"-0.3 (0.23)","-0.05 (0.17)","0.01 (0.22)","0.01 (0.18)","0 (0.25)","0.01 (0.19)","-0.01 (0.24)","-0.01 (0.19)"
"2","mean.x2",0.3,"-2.96 (2.21)","-0.64 (1.6)","-0.02 (1.95)","-0.03 (1.67)","-0.1 (2.1)","-0.04 (1.66)","-0.1 (2.26)","-0.01 (1.72)"
"3","mean.y",0.3,"-0.28 (0.17)","0.03 (0.1)","0.02 (0.13)","0.02 (0.1)","0.02 (0.14)","0.02 (0.1)","0 (0.13)","0 (0.1)"
"4","var.x1",0.3,"-22.49 (10.97)","-20.69 (9.97)","0.29 (3.95)","0.04 (3.23)","0.43 (4.28)","0.19 (3.24)","-0.21 (4.19)","-0.26 (3.3)"
"5","var.x2",0.3,"-1880.37 (943.91)","-1718.27 (872.9)","-349.84 (576.31)","-368.09 (564.98)","-354.55 (590.16)","-362.53 (564.6)","-29.26 (783.43)","-24.25 (615.88)"
"6","var.y",0.3,"-7.9 (3.66)","-5.64 (2.9)","0.76 (1.59)","0.71 (1.34)","0.68 (1.64)","0.75 (1.35)","-0.05 (1.41)","-0.08 (1.2)"
"7","cor.x1.x2",0.3,"-0.04 (0.02)","0.01 (0.03)","0.01 (0.03)","0.01 (0.03)","0.01 (0.04)","0.01 (0.03)","0 (0.03)","0 (0.03)"
"8","cor.x1.x3",0.3,"-0.05 (0.02)","0.03 (0.02)","0 (0.02)","0 (0.02)","0 (0.03)","0 (0.02)","0 (0.03)","0 (0.02)"
"9","cor.x2.x3",0.3,"-0.08 (0.03)","0.05 (0.03)","0.02 (0.03)","0.02 (0.03)","0.02 (0.04)","0.02 (0.03)","-0.01 (0.03)","0 (0.03)"
"10","mean.x1",0.5,"-0.42 (0.34)","-0.07 (0.25)","0.02 (0.31)","0 (0.26)","0.01 (0.35)","0 (0.27)","-0.03 (0.34)","-0.02 (0.27)"
"11","mean.x2",0.5,"-4.21 (3.38)","-0.87 (2.29)","0.1 (2.65)","0.02 (2.32)","-0.04 (2.94)","-0.03 (2.38)","-0.08 (3.15)","-0.03 (2.49)"
"12","mean.y",0.5,"-0.37 (0.26)","0.06 (0.15)","0.02 (0.17)","0.01 (0.14)","0.01 (0.18)","0.01 (0.15)","0 (0.19)","-0.01 (0.14)"
"13","var.x1",0.5,"-38.65 (17.34)","-36.1 (15.86)","0.57 (5.35)","0.43 (4.45)","0.85 (6)","0.61 (4.55)","-0.11 (5.84)","-0.1 (4.8)"
"14","var.x2",0.5,"-2980.95 (1485.74)","-2759.32 (1358.03)","-495.72 (743.63)","-506.18 (715.93)","-491.9 (760.03)","-492.45 (727.99)","-25.43 (984.93)","2.55 (817.19)"
"15","var.y",0.5,"-12.64 (5.87)","-9.26 (4.83)","0.8 (1.99)","0.71 (1.67)","0.8 (2.2)","0.8 (1.73)","-0.12 (1.91)","-0.19 (1.59)"
"16","cor.x1.x2",0.5,"-0.05 (0.03)","0.02 (0.04)","0.01 (0.04)","0.01 (0.04)","0 (0.05)","0.01 (0.04)","0 (0.05)","0 (0.04)"
"17","cor.x1.x3",0.5,"-0.07 (0.03)","0.05 (0.03)","0 (0.03)","0 (0.03)","0 (0.03)","0 (0.03)","0 (0.04)","0 (0.03)"
"18","cor.x2.x3",0.5,"-0.11 (0.05)","0.09 (0.05)","0.02 (0.04)","0.02 (0.04)","0.02 (0.04)","0.02 (0.04)","-0.01 (0.04)","-0.01 (0.03)"
"19","mean.x1",0.7,"-0.47 (0.48)","-0.11 (0.35)","-0.02 (0.39)","-0.03 (0.34)","-0.03 (0.46)","-0.03 (0.36)","-0.05 (0.46)","-0.04 (0.36)"
"20","mean.x2",0.7,"-4.16 (3.92)","-0.71 (2.73)","0.19 (3.23)","0.21 (2.75)","0.29 (3.7)","0.22 (2.84)","-0.16 (3.86)","-0.06 (2.98)"
"21","mean.y",0.7,"-0.37 (0.33)","0.1 (0.21)","0 (0.22)","0 (0.19)","0 (0.25)","0 (0.21)","-0.02 (0.25)","-0.01 (0.2)"
"22","var.x1",0.7,"-54.38 (24.9)","-51.35 (22.93)","0.5 (7.19)","0.32 (6.15)","0.97 (8.12)","0.79 (6.41)","0.13 (7.96)","-0.02 (6.74)"
"23","var.x2",0.7,"-3835.66 (1824.17)","-3588.44 (1692.89)","-463.79 (912.77)","-470.02 (880.31)","-431.28 (933.36)","-458.54 (887.77)","15.73 (1305.19)","27.22 (1028.08)"
"24","var.y",0.7,"-17.41 (8.14)","-12.4 (7)","0.68 (2.36)","0.72 (2.06)","0.84 (2.8)","0.84 (2.18)","-0.25 (2.42)","-0.25 (1.98)"
"25","cor.x1.x2",0.7,"-0.05 (0.04)","0.04 (0.07)","0.01 (0.06)","0.01 (0.05)","0.01 (0.06)","0.01 (0.05)","0 (0.06)","0 (0.05)"
"26","cor.x1.x3",0.7,"-0.1 (0.04)","0.08 (0.06)","0 (0.05)","0 (0.04)","0 (0.05)","0 (0.04)","0 (0.05)","0 (0.04)"
"27","cor.x2.x3",0.7,"-0.14 (0.06)","0.13 (0.08)","0.02 (0.05)","0.02 (0.05)","0.02 (0.06)","0.02 (0.05)","-0.02 (0.06)","-0.01 (0.05)"
