"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","beta.x1",0.3,"-0.01 (0.01)","0.01 (0.01)","0 (0.01)","0 (0.01)","0 (0.01)","0 (0.01)","0 (0.01)","0 (0.01)"
"2","beta.x2",0.3,"0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"3","sigma",0.3,"-4.56 (2.98)","-6.85 (2.54)","-0.07 (1.25)","-0.05 (1)","-0.03 (1.28)","-0.07 (0.99)","-0.02 (1.22)","-0.06 (0.97)"
"4","r.squared",0.3,"-0.04 (0.01)","0.04 (0.02)","0 (0.02)","0 (0.01)","0 (0.02)","0 (0.01)","0 (0.02)","0 (0.01)"
"5","beta.x1",0.5,"-0.02 (0.02)","0.02 (0.03)","0 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)"
"6","beta.x2",0.5,"0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"7","sigma",0.5,"-7.56 (4.89)","-11.2 (3.94)","-0.07 (1.71)","-0.04 (1.39)","0.04 (1.8)","0 (1.43)","-0.02 (1.72)","-0.04 (1.37)"
"8","r.squared",0.5,"-0.07 (0.02)","0.07 (0.03)","0 (0.03)","0 (0.02)","0 (0.03)","0 (0.02)","0 (0.03)","0 (0.02)"
"9","beta.x1",0.7,"-0.04 (0.03)","0.04 (0.05)","0 (0.03)","0 (0.02)","0 (0.03)","0 (0.02)","0.01 (0.03)","0.01 (0.02)"
"10","beta.x2",0.7,"-0.01 (0.01)","0.01 (0.01)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"11","sigma",0.7,"-11.21 (6.73)","-15.66 (5.21)","-0.1 (2.22)","-0.15 (1.88)","-0.03 (2.55)","-0.12 (1.92)","-0.13 (2.42)","-0.1 (1.89)"
"12","r.squared",0.7,"-0.1 (0.03)","0.12 (0.05)","0 (0.03)","0 (0.03)","0 (0.04)","0 (0.03)","0 (0.04)","0 (0.03)"
