"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","mean.x1",0.3,"0 (0.17)","0 (0.16)","0.01 (0.22)","0 (0.18)","0 (0.23)","0 (0.18)","0 (0.23)","0 (0.18)"
"2","mean.x2",0.3,"-0.03 (1.37)","-0.03 (1.36)","-0.06 (1.77)","0 (1.4)","-0.01 (1.75)","-0.04 (1.46)","-0.01 (1.9)","0.01 (1.47)"
"3","mean.y",0.3,"0 (0.09)","0 (0.09)","0 (0.12)","0 (0.09)","0.01 (0.12)","0 (0.1)","0 (0.13)","0 (0.1)"
"4","var.x1",0.3,"-23.32 (10.58)","-21.74 (9.82)","-0.16 (4.24)","-0.15 (3.24)","0 (4.17)","0 (3.29)","-0.12 (3.99)","-0.23 (3.21)"
"5","var.x2",0.3,"-1534.06 (793.46)","-1368.7 (719.38)","0.8 (448.59)","-9.46 (419.22)","0.75 (463.53)","2.43 (424.11)","-4.37 (622.07)","-3.88 (450.02)"
"6","var.y",0.3,"-7.52 (3.47)","-6.4 (3.07)","0.02 (1.31)","0.02 (1.02)","0.04 (1.32)","0.03 (1.05)","0.07 (1.3)","-0.03 (1)"
"7","cor.x1.x2",0.3,"-0.02 (0.02)","0.01 (0.02)","0 (0.02)","0 (0.02)","0 (0.03)","0 (0.02)","0 (0.02)","0 (0.02)"
"8","cor.x1.x3",0.3,"-0.03 (0.02)","0.03 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)","0.01 (0.02)","0 (0.02)"
"9","cor.x2.x3",0.3,"-0.04 (0.02)","0.03 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)","0 (0.02)"
"10","mean.x1",0.5,"0 (0.24)","0 (0.23)","0 (0.3)","0 (0.24)","0 (0.32)","0 (0.26)","0 (0.34)","-0.01 (0.25)"
"11","mean.x2",0.5,"-0.03 (1.99)","-0.02 (1.9)","-0.09 (2.46)","0.01 (2.03)","-0.04 (2.65)","-0.02 (2.04)","0 (2.58)","-0.01 (2.11)"
"12","mean.y",0.5,"0 (0.14)","0 (0.12)","-0.01 (0.15)","0 (0.13)","0 (0.18)","0 (0.13)","0 (0.18)","0 (0.14)"
"13","var.x1",0.5,"-39.1 (18.44)","-36.81 (17.19)","-0.2 (5.31)","-0.27 (4.54)","-0.13 (5.88)","0.22 (4.71)","-0.49 (5.63)","-0.45 (4.62)"
"14","var.x2",0.5,"-2636.09 (1338.93)","-2392.96 (1209.25)","2.97 (692.04)","-8.07 (653.64)","12.73 (691.03)","6.58 (658.72)","-1.54 (814.31)","-11.26 (689.32)"
"15","var.y",0.5,"-12.38 (5.66)","-10.25 (4.95)","0.09 (1.73)","0.09 (1.4)","0.15 (1.76)","0.14 (1.45)","0.04 (1.79)","-0.01 (1.41)"
"16","cor.x1.x2",0.5,"-0.03 (0.02)","0.02 (0.04)","0 (0.03)","0 (0.03)","0 (0.04)","0 (0.03)","0 (0.04)","0 (0.03)"
"17","cor.x1.x3",0.5,"-0.06 (0.03)","0.05 (0.03)","0 (0.03)","0 (0.03)","0 (0.03)","0 (0.03)","0.01 (0.03)","0.01 (0.03)"
"18","cor.x2.x3",0.5,"-0.08 (0.04)","0.07 (0.03)","0 (0.03)","0 (0.03)","0 (0.03)","0 (0.03)","-0.01 (0.03)","-0.01 (0.03)"
"19","mean.x1",0.7,"0.01 (0.31)","0 (0.3)","0 (0.37)","0.01 (0.31)","0.02 (0.43)","0.01 (0.32)","0.01 (0.43)","0.01 (0.32)"
"20","mean.x2",0.7,"0.14 (2.62)","0.14 (2.56)","0.04 (3.09)","0.14 (2.7)","0.06 (3.52)","0.13 (2.77)","0.18 (3.62)","0.11 (2.74)"
"21","mean.y",0.7,"0 (0.17)","0 (0.17)","0 (0.21)","-0.01 (0.17)","0 (0.23)","0 (0.18)","0 (0.25)","-0.01 (0.18)"
"22","var.x1",0.7,"-53.26 (24.5)","-50.69 (22.88)","0.42 (6.8)","0.25 (5.93)","0.58 (7.76)","0.7 (6.06)","0.14 (6.97)","0.12 (5.87)"
"23","var.x2",0.7,"-3576.93 (1738.14)","-3298.46 (1570.26)","38.54 (834.27)","29.97 (809.42)","72.51 (904.27)","54.63 (819.54)","-12.69 (1047.9)","2.27 (855.53)"
"24","var.y",0.7,"-17.74 (7.57)","-14.12 (6.82)","0.04 (2.25)","-0.01 (1.92)","0.08 (2.49)","0.06 (2)","-0.19 (2.32)","-0.16 (1.88)"
"25","cor.x1.x2",0.7,"-0.05 (0.03)","0.03 (0.06)","0 (0.05)","0 (0.04)","0 (0.05)","0 (0.04)","0 (0.05)","0 (0.04)"
"26","cor.x1.x3",0.7,"-0.1 (0.05)","0.08 (0.06)","0 (0.04)","0 (0.04)","0 (0.05)","0 (0.04)","0.01 (0.05)","0.01 (0.04)"
"27","cor.x2.x3",0.7,"-0.13 (0.05)","0.1 (0.06)","0 (0.04)","0 (0.04)","0 (0.05)","0 (0.04)","-0.01 (0.05)","-0.01 (0.04)"
